accx,accy,accz
0.8997,-0.3761,4.0077
0.2622,-0.3636,3.5398
-0.0428,0.0308,2.9268
0.1081,0.5317,2.3246
0.3774,1.0753,1.66
0.8065,1.3003,1.1963
1.245,1.4358,1.0035
1.4484,1.2894,1.043
1.3284,0.9326,1.2276
0.9581,0.5181,1.5364
0.468,0.0704,1.7767
0.1046,-0.2007,1.8535
-0.1696,-0.369,1.6658
-0.3232,-0.4229,1.3436
-0.395,-0.3266,0.8452
-0.4154,-0.1999,0.2735
-0.4152,-0.0189,-0.2935
-0.3943,0.0161,-0.3122
-0.1473,0.1211,-0.6663
-0.1806,0.1088,-0.6668
-0.2161,-0.0551,-0.6029
-0.1893,-0.25,-0.4621
-0.1513,-0.394,-0.3698
-0.0563,-0.5138,-0.3652
0.1157,-0.5943,-0.4309
0.329,-0.6675,-0.5423
0.5424,-0.7279,-0.6658
0.6622,-0.8014,-0.7378
0.7298,-0.9133,-0.6867
0.7488,-1.046,-0.6806
0.749,-1.1306,-0.7357
0.7363,-1.0843,-0.8443
0.73,-1.0547,-1.0906
0.6688,-0.9952,-1.3843
0.519,-0.9239,-1.7536
0.4326,-0.9123,-1.7996
0.3389,-0.9497,-1.5655
0.2158,-1.1299,-1.1997
0.0922,-1.2218,-0.8532
-0.0967,-1.3044,-0.7936
-0.2556,-1.3599,-0.9419
-0.3799,-1.3725,-1.1632
-0.4575,-1.3636,-1.4433
-0.4452,-1.3594,-1.6513
-0.3487,-1.3472,-1.7916
-0.2762,-1.2863,-1.787
-0.1453,-1.216,-1.7007
-0.1141,-1.115,-1.7361
-0.0796,-1.0635,-1.7728
-0.0084,-1.0525,-1.7696
-0.0214,-1.0129,-1.6538
-0.0851,-1.0484,-1.4663
-0.0257,-1.0128,-1.2175
0.1054,-0.9075,-0.9792
0.1216,-0.5943,-0.8282
0.0613,-0.1923,-0.8388
0.0622,0.1684,-0.9693
0.0099,0.3409,-1.1729
-0.0388,0.4714,-0.9931
-0.0815,0.5136,-0.5032
-0.0273,0.5167,0.047
-0.0035,0.54,0.7966
