accx,accy,accz
0.0261,-0.0737,-0.099
0.0421,-0.0509,-0.1044
0.0583,-0.0766,-0.1264
0.0699,-0.0885,-0.1551
0.0294,-0.1053,-0.1598
-0.0065,-0.0692,-0.1336
-0.045,-0.0496,-0.0931
0.0046,-0.0849,-0.0696
0.0515,-0.07,-0.1441
0.0506,-0.0649,-0.1323
0.0171,-0.0477,-0.1373
0.01,-0.0832,-0.1519
0.0031,-0.0826,-0.1402
0.0033,-0.0413,-0.1405
-0.0111,-0.024,-0.1575
-0.0207,-0.0354,-0.1458
0.0098,-0.0684,-0.2251
0.0137,-0.0945,-0.242
-0.008,-0.0561,-0.2038
-0.0151,-0.0409,-0.1635
0.021,-0.0661,-0.121
0.0336,-0.0601,-0.1359
0.0199,-0.0594,-0.1338
0.0041,-0.0707,-0.1413
-0.0023,-0.0679,-0.1391
0.0125,-0.0768,-0.0939
0.0341,-0.0853,-0.0634
0.0455,-0.0939,-0.0758
0.0642,-0.086,-0.1049
0.0641,-0.1,-0.1243
0.0571,-0.0902,-0.122
0.0478,-0.085,-0.1413
0.0217,-0.0606,-0.132
0.0318,-0.0788,-0.1204
0.0076,-0.0638,-0.1471
0.0146,-0.0636,-0.1879
0.012,-0.0445,-0.1999
0.0311,-0.0542,-0.1926
-0.0189,-0.0588,-0.2047
-0.0397,-0.0439,-0.1594
-0.0148,-0.0429,-0.1455
-0.0384,-0.0633,-0.1389
-0.0124,-0.0217,-0.1226
0.0296,-0.0353,-0.1039
0.0594,-0.0467,-0.1281
0.0464,-0.0536,-0.102
0.0672,-0.0583,-0.1236
0.0404,-0.0656,-0.138
0.0142,-0.0729,-0.1403
0.0385,-0.0706,-0.157
0.0195,-0.0827,-0.1761
0.0052,-0.0825,-0.1809
0.0102,-0.0966,-0.1931
0.0055,-0.0816,-0.1862
0.0009,-0.0567,-0.1268
0.0246,-0.0626,-0.1083
0.0144,-0.071,-0.1209
-0.0051,-0.0463,-0.1452
0.0022,-0.0509,-0.174
-0.0001,-0.0603,-0.1573
-0.0169,-0.0333,-0.1194
0.0139,-0.0634,-0.1175
0.018,-0.0649,-0.1371
0.0247,-0.0571,-0.1039
0.0075,-0.059,-0.1473
0.005,-0.0538,-0.1642
-0.0071,-0.0675,-0.1478
0.014,-0.0474,-0.1603
-0.0081,-0.0678,-0.1202
0.0154,-0.0451,-0.1112
0.0267,-0.061,-0.1308
0.0644,-0.0534,-0.1621
0.0591,-0.051,-0.2029
0.0656,-0.0606,-0.1885
0.048,-0.0719,-0.1578
0.0953,-0.047,-0.1367
0.0543,-0.0532,-0.1396
0.0308,-0.0597,-0.1591
