accx,accy,accz
-6.2672,-1.4248,8.4806
-6.2797,-1.3515,8.5974
-6.2525,-1.2368,8.8373
-6.2455,-1.2031,9.0963
-6.223,-1.2476,9.372
-6.204,-1.2697,9.7086
-6.1214,-1.4034,10.1442
-6.029,-1.5643,10.5447
-6.1574,-1.5766,10.9996
-6.7246,-1.1169,11.1913
-7.3405,-0.5133,10.9511
-7.4781,-0.4557,10.4563
-7.1775,-0.6879,10.2299
-6.7652,-0.9195,10.5162
-6.2698,-1.2173,11.3797
-5.8014,-1.6143,12.4519
-5.415,-2.328,13.4674
-5.4274,-2.8451,14.2948
-5.7244,-3.2833,14.608
-6.1008,-3.569,14.1466
-6.4258,-3.7651,12.7338
-6.5676,-3.7938,11.2276
-6.6818,-3.7233,9.8806
-6.6982,-3.5499,8.9139
-6.8185,-3.2799,8.1182
-7.018,-3.071,7.6174
-7.1205,-3.0127,7.5011
-7.1702,-3.0971,7.6595
-7.2455,-3.2719,7.9344
-7.3067,-3.4256,8.1344
-7.2289,-3.4391,8.2369
-7.1453,-3.3372,8.0537
-7.0228,-3.2253,7.5904
-6.883,-3.1008,7.1984
-6.7953,-2.9906,6.8639
-6.7669,-2.8805,6.5962
-6.7497,-2.8192,6.4589
-6.8295,-2.8264,6.4297
-6.8173,-2.8758,6.5369
-6.8331,-2.8595,6.5429
-6.9369,-2.9424,6.908
-7.043,-2.9423,7.0094
-7.1777,-2.9091,7.2211
-7.162,-2.9328,7.521
-7.0367,-2.903,7.6646
-6.8181,-2.7815,7.584
-6.6415,-2.5742,7.329
-6.6074,-2.4753,7.1081
-6.7091,-2.4868,6.9331
-6.8865,-2.5398,7.0558
-7.443,-2.666,7.6051
-7.8302,-2.7551,8.5533
-8.0207,-2.8459,9.4028
-7.7895,-2.9468,9.5931
-7.3367,-2.7297,8.9273
-7.3581,-2.4226,7.7675
-6.9144,-1.7901,6.5518
-6.2247,-1.057,6.1459
-5.772,-0.352,6.464
-5.7077,-0.1409,7.3128
-5.8217,-0.3872,8.7822
-5.8087,-0.7048,10.0324
-5.9001,-0.9604,11.2855
-6.0407,-1.2429,12.0816
-5.8979,-1.5266,12.603
-5.7305,-1.4204,12.6171
-5.8586,-0.6987,12.0276
-5.8838,-0.0354,11.0665
-5.4154,0.0959,10.2587
-5.0856,0.1394,9.8444
-4.9521,0.1517,9.7244
-4.7481,-0.2132,10.053
-4.5589,-0.9342,11.0351
-4.6713,-2.078,12.8101
-4.7316,-2.4616,13.2272
-4.9507,-3.2808,13.7302
-4.9582,-3.6725,13.2895
-5.1569,-3.5694,12.6193
-5.2592,-3.4106,11.7543
-5.2904,-3.3101,10.844
-5.2563,-3.3438,10.8018
-5.4404,-3.2762,9.0085
-5.5636,-3.1781,8.2079
-5.6798,-3.0412,7.6123
-5.8489,-2.8945,7.0321
-5.9427,-2.9281,6.6668
-6.097,-3.0375,6.4692
-6.0631,-3.1575,6.4094
-5.9734,-3.2471,6.4488
-5.9233,-3.249,6.6006
-5.7649,-3.2486,6.7987
-5.4416,-3.2641,7.0543
-5.3035,-3.2204,7.3267
-5.5328,-3.2441,7.5299
-5.7883,-3.3888,7.7435
-6.0613,-3.5482,7.9646
-6.3044,-3.6432,8.1604
-6.5307,-3.6565,8.3094
-6.6164,-3.574,8.3988
-6.5166,-3.4242,8.3089
-6.3946,-3.2282,8.0381
-6.2927,-2.9798,7.5765
-6.281,-2.8092,7.2283
-6.2664,-2.6375,7.0188
-6.2888,-2.525,6.971
-6.3356,-2.417,7.0645
-6.319,-2.43,7.0586
-6.4379,-2.2408,7.5716
-6.4725,-2.1265,7.7213
-6.5097,-2.1107,7.852
-6.5185,-2.1381,7.9946
-6.5853,-2.1032,8.089
-6.6888,-2.0132,8.1017
-6.7,-1.9109,8.1808
-6.6669,-1.8015,8.2693
-6.6013,-1.7398,8.5006
-6.6154,-1.7286,8.5086
-6.3258,-1.6795,9.0825
-6.2016,-1.6525,9.4597
-6.0342,-1.7338,9.955
-5.8997,-1.8687,10.3878
-5.8214,-2.0601,10.8993
-6.0037,-2.0818,11.2273
-6.679,-1.5964,11.0092
-7.2259,-1.2305,10.4053
-7.2426,-1.4341,9.867
-7.2362,-1.5968,9.6992
-7.2819,-1.6455,9.6029
-7.1255,-1.856,9.758
-6.7304,-2.2933,10.6244
-5.905,-2.3389,11.2867
-6.498,-3.1608,12.8534
-6.2686,-3.6588,12.4681
-6.4839,-3.7114,12.6539
-6.8102,-3.6718,11.6235
-6.7168,-3.7692,10.1516
-6.6732,-3.6591,9.049
-6.6363,-3.4301,8.1713
-6.5682,-3.213,7.6452
-6.5673,-2.9423,7.3302
-6.6041,-2.8607,7.3036
-6.6906,-3.0826,7.419
-6.8588,-3.2767,7.6244
-7.1322,-3.3502,7.7952
-7.2878,-3.3707,7.846
-7.3093,-3.4533,7.8229
-7.244,-3.4596,7.7176
-7.0067,-3.36,7.4459
-6.8556,-3.1932,7.0098
-6.6386,-3.0202,6.4389
-6.5505,-2.8882,6.0442
-6.5339,-2.7515,5.8189
-6.547,-2.6662,5.7945
-6.5836,-2.6245,5.9204
-6.7032,-2.5837,6.1296
-6.8608,-2.5146,6.4457
-6.9324,-2.4814,6.6568
-6.9242,-2.4781,6.8002
-6.9086,-2.4513,6.8997
-6.8069,-2.3435,7.0363
-6.7217,-2.2888,7.0668
-6.695,-2.1783,6.9892
