accx,accy,accz
-0.0118,-0.1631,-0.0569
-0.0558,-0.157,-0.0854
-0.0525,-0.1108,-0.1473
-0.0061,-0.115,-0.142
-0.0393,-0.0998,-0.1154
-0.0465,-0.0941,-0.0529
-0.0346,-0.0767,-0.0118
-0.0305,-0.0647,-0.0232
-0.0412,-0.0465,-0.0438
-0.0401,-0.0387,-0.0425
-0.091,-0.0127,-0.06
-0.077,-0.0161,-0.1226
-0.0703,-0.0269,-0.1733
-0.0612,-0.0136,-0.1449
-0.0282,0.0025,-0.0952
0.0162,0.0309,-0.0768
0.0195,0.0304,-0.0751
-0.0274,0.0269,-0.1234
-0.028,0.0006,-0.1808
-0.0307,0.0047,-0.1803
-0.031,-0.0227,-0.163
-0.0219,-0.0212,-0.1577
-0.0203,-0.0169,-0.1431
0.0097,-0.0191,-0.0617
0.0701,-0.0213,-0.0186
0.0716,-0.0047,-0.0497
0.0478,0.01,-0.1185
0.046,-0.0124,-0.1772
0.0661,-0.069,-0.2356
0.0747,-0.0606,-0.2342
0.0815,-0.0757,-0.2091
0.1174,-0.0395,-0.1484
0.1174,-0.0575,-0.112
0.1337,-0.0589,-0.1378
0.1243,-0.0929,-0.1894
0.1138,-0.1158,-0.1882
0.1311,-0.1578,-0.1223
0.0891,-0.13,-0.0472
0.0985,-0.0857,-0.0486
0.0599,-0.1067,-0.1743
0.0415,-0.0448,-0.3474
0.0209,-0.0402,-0.4582
0.0448,-0.0255,-0.4717
0.0251,-0.0348,-0.4502
0.0376,-0.0352,-0.4077
0.0335,-0.0413,-0.2748
0.0077,-0.0633,-0.1543
-0.0024,-0.073,-0.0986
-0.0132,-0.0741,-0.1048
-0.003,-0.0571,-0.1321
0.0051,-0.0511,-0.166
-0.0365,-0.0307,-0.1473
-0.0277,-0.0269,-0.1669
-0.0381,-0.004,-0.1889
-0.0199,-0.0072,-0.1512
-0.0135,-0.0099,-0.0896
-0.0359,-0.0173,-0.0401
-0.0371,-0.0015,-0.043
-0.0458,-0.0132,-0.067
-0.0621,-0.0284,-0.1049
-0.0519,-0.066,-0.1473
-0.0392,-0.0486,-0.2016
-0.0503,-0.0645,-0.1914
-0.037,-0.0704,-0.21
-0.0494,-0.0469,-0.2312
-0.0363,-0.0681,-0.2431
-0.0319,-0.0651,-0.2766
-0.0635,-0.0957,-0.31
-0.065,-0.0639,-0.3292
-0.0341,-0.0633,-0.3126
0.027,-0.0504,-0.3559
-0.0225,-0.0592,-0.4185
-0.0836,-0.0943,-0.4809
-0.029,-0.0812,-0.4932
-0.0126,-0.0594,-0.4199
-0.0018,-0.0668,-0.2445
0.0175,-0.0269,-0.1129
0.0643,-0.0009,-0.0176
0.0908,-0.0023,-0.0081
0.1162,-0.0006,-0.0506
0.1174,0.0043,-0.1117
0.0997,-0.0185,-0.2199
0.0552,0.0067,-0.2587
0.0449,0.0255,-0.166
0.0536,0.0336,-0.0786
0.0832,0.0782,0.0109
0.0743,0.0335,-0.0023
0.0401,0.0379,-0.0772
-0.0216,0.0099,-0.1156
-0.0743,-0.0378,-0.0914
-0.0667,-0.0398,-0.0744
-0.0768,-0.0778,-0.0575
-0.1384,-0.0771,-0.0192
-0.005,-0.0452,0.0716
0.0476,-0.0201,0.2148
0.0483,-0.0198,0.2147
0.069,-0.0602,-0.0477
0.0986,-0.0579,-0.1439
0.0994,-0.0367,-0.2663
0.1312,-0.0025,-0.2622
0.1391,-0.0455,-0.2038
0.1289,-0.0727,-0.177
0.105,-0.0421,-0.2078
0.1216,-0.0334,-0.2336
0.1212,-0.0442,-0.2186
0.1041,-0.0527,-0.2419
0.13,-0.0589,-0.2723
0.0917,-0.051,-0.2906
0.0228,-0.0597,-0.3114
-0.012,-0.0658,-0.3202
-0.0463,-0.0881,-0.3124
-0.0728,-0.069,-0.2713
-0.0579,-0.063,-0.2211
-0.0649,-0.0585,-0.1689
-0.0968,-0.0494,-0.1789
-0.0846,-0.0432,-0.2104
-0.0567,-0.0589,-0.1987
-0.0747,-0.0431,-0.1633
-0.0738,-0.0417,-0.1638
-0.0258,-0.0548,-0.1308
-0.0071,-0.0586,-0.1575
-0.0166,-0.0868,-0.1697
-0.0546,-0.0838,-0.1795
-0.0325,-0.0756,-0.1272
0.011,-0.0385,-0.1348
0.0253,-0.0254,-0.1711
0.0083,-0.0176,-0.1978
-0.0351,-0.0266,-0.2052
-0.0522,-0.038,-0.1959
-0.0696,-0.0426,-0.2151
-0.0726,-0.0402,-0.2319
-0.0468,-0.0348,-0.1748
0.017,0.0096,-0.1298
0.037,0.0373,-0.109
0.049,0.0191,-0.1382
0.0516,0.012,-0.2055
0.0502,0.0115,-0.2054
0.0068,0.023,-0.2268
0.0161,0.0012,-0.1884
0.0016,-0.0062,-0.15
0.0233,0.0012,-0.1094
0.0165,-0.0087,-0.1188
0.0438,-0.0236,-0.1185
0.0521,-0.0359,-0.1039
0.0532,-0.0362,-0.1037
0.0219,-0.0536,-0.0915
-0.0078,-0.0425,-0.0912
-0.011,-0.0339,-0.0933
-0.0426,-0.0205,-0.0882
-0.0333,-0.0092,-0.0496
0.0241,-0.0169,0.0391
0.0578,-0.0073,0.0823
0.0584,0.0191,0.1996
0.0082,0.0264,0.2716
-0.0478,0.0349,0.198
-0.0841,0.0098,0.0585
-0.0968,-0.0199,-0.0634
-0.1082,-0.0505,-0.118
-0.1615,-0.0474,-0.1583
-0.2415,-0.0605,-0.187
-0.2484,-0.0276,-0.2423
-0.2727,-0.0334,-0.3286
-0.2766,-0.0396,-0.4555
-0.258,-0.063,-0.4914
-0.2457,-0.0857,-0.487
-0.2153,-0.0833,-0.4328
-0.1263,-0.1082,-0.3578
-0.0793,-0.1057,-0.2904
-0.0833,-0.1191,-0.245
-0.0417,-0.1375,-0.2474
-0.0119,-0.1541,-0.3022
0.0038,-0.1636,-0.3521
0.0199,-0.1677,-0.3304
0.0558,-0.1801,-0.314
0.1138,-0.1961,-0.3531
0.2038,-0.221,-0.3421
0.2114,-0.2644,-0.336
0.1908,-0.279,-0.318
0.1947,-0.262,-0.3385
0.149,-0.2155,-0.3304
0.1143,-0.1705,-0.3682
0.0937,-0.1392,-0.394
0.0777,-0.1406,-0.3985
0.0684,-0.1313,-0.3411
0.0277,-0.1181,-0.253
0.0139,-0.0944,-0.1676
-0.0073,-0.0584,-0.0464
0.0062,-0.061,0.0246
0.0033,-0.0047,0.0479
0.0418,0.0402,-0.0072
0.0126,0.081,-0.1167
0.0054,0.0895,-0.1707
0.0181,0.0813,-0.1121
